2026-06-15T00:58:29 | INFO     | news_pipeline.app | app:57 | Starting News Pipeline API …
2026-06-15T00:58:34 | ERROR    | news_pipeline.database | database:116 | Could not connect to PostgreSQL: (psycopg2.OperationalError) connection to server at "localhost" (::1), port 5432 failed: Connection refused (0x0000274D/10061)
	Is the server running on that host and accepting TCP/IP connections?
connection to server at "localhost" (127.0.0.1), port 5432 failed: Connection refused (0x0000274D/10061)
	Is the server running on that host and accepting TCP/IP connections?

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-06-15T00:58:34 | WARNING  | news_pipeline.app | app:62 | Database not reachable at startup — some endpoints will return 503.
2026-06-15T01:00:39 | INFO     | news_pipeline.app | app:66 | Shutting down News Pipeline API.
2026-06-15T09:30:54 | INFO     | news_pipeline.app | app:57 | Starting News Pipeline API …
2026-06-15T11:36:17 | INFO     | news_pipeline.app | app:57 | Starting News Pipeline API …
2026-06-15T11:36:17 | ERROR    | news_pipeline.database | database:116 | Could not connect to PostgreSQL: (psycopg2.OperationalError) connection to server at "localhost" (::1), port 5432 failed: FATAL:  password authentication failed for user "postgres"

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-06-15T11:36:17 | WARNING  | news_pipeline.app | app:62 | Database not reachable at startup — some endpoints will return 503.
2026-06-15T11:38:28 | INFO     | news_pipeline.app | app:66 | Shutting down News Pipeline API.
2026-06-15T12:16:23 | INFO     | news_pipeline.app | app:57 | Starting News Pipeline API …
2026-06-15T12:16:23 | ERROR    | news_pipeline.database | database:116 | Could not connect to PostgreSQL: (psycopg2.OperationalError) connection to server at "localhost" (::1), port 5432 failed: FATAL:  password authentication failed for user "postgres"

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-06-15T12:16:23 | WARNING  | news_pipeline.app | app:62 | Database not reachable at startup — some endpoints will return 503.
2026-06-15T12:17:41 | INFO     | news_pipeline.app | app:66 | Shutting down News Pipeline API.
2026-06-15T13:55:54 | INFO     | news_pipeline.app | app:57 | Starting News Pipeline API …
2026-06-15T13:55:54 | INFO     | news_pipeline.database | database:41 | MongoDB client created for URI: mongodb://localhost:27017/news_detection
2026-06-15T13:55:54 | INFO     | news_pipeline.database | database:88 | MongoDB indexes verified on db='news_detection' collection='articles'.
2026-06-15T13:55:54 | INFO     | news_pipeline.app | app:60 | Database ready.
2026-06-15T15:32:27 | INFO     | news_pipeline.app | app:66 | Shutting down News Pipeline API.
2026-06-15T15:33:39 | INFO     | news_pipeline.app | app:57 | Starting News Pipeline API …
2026-06-15T15:33:39 | INFO     | news_pipeline.database | database:41 | MongoDB client created for URI: mongodb://localhost:27017/news_detection
2026-06-15T15:33:39 | INFO     | news_pipeline.database | database:88 | MongoDB indexes verified on db='news_detection' collection='articles'.
2026-06-15T15:33:39 | INFO     | news_pipeline.app | app:60 | Database ready.
2026-06-15T21:22:01 | INFO     | news_pipeline.app | app:66 | Shutting down News Pipeline API.
2026-06-15T22:33:59 | INFO     | news_pipeline.app | app:57 | Starting News Pipeline API …
2026-06-15T22:34:00 | INFO     | news_pipeline.database | database:41 | MongoDB client created for URI: mongodb://localhost:27017/news_detection
2026-06-15T22:34:00 | INFO     | news_pipeline.database | database:88 | MongoDB indexes verified on db='news_detection' collection='articles'.
2026-06-15T22:34:00 | INFO     | news_pipeline.app | app:60 | Database ready.
2026-06-15T22:34:29 | INFO     | news_pipeline.app | app:100 | → GET /health
